Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
City Center,Richmond,VA,37.542916299999995,-77.4379257,Greenleaf's Pool Room,37.54098240521079,-77.43799328176922,Sports Bar
City Center,Richmond,VA,37.542916299999995,-77.4379257,The National,37.54189345405843,-77.43533156308092,Music Venue
City Center,Richmond,VA,37.542916299999995,-77.4379257,707 Fine Clothing,37.54393081083916,-77.43874311447144,Men's Store
City Center,Richmond,VA,37.542916299999995,-77.4379257,Penny Lane Pub,37.541188960535656,-77.43924215447322,Pub
City Center,Richmond,VA,37.542916299999995,-77.4379257,Soul Taco,37.544576,-77.43943399999999,Taco Place
City Center,Richmond,VA,37.542916299999995,-77.4379257,Perly's,37.54384800818421,-77.44143577650136,Deli / Bodega
City Center,Richmond,VA,37.542916299999995,-77.4379257,Wong Gonzalez,37.542402068655186,-77.43853969028625,Asian Restaurant
City Center,Richmond,VA,37.542916299999995,-77.4379257,Salt & Forge,37.545206,-77.44018299999999,Sandwich Place
City Center,Richmond,VA,37.542916299999995,-77.4379257,Godfrey's Restaurant and Nightclub,37.543019726929764,-77.4396184158943,Gay Bar
City Center,Richmond,VA,37.542916299999995,-77.4379257,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
City Center,Richmond,VA,37.542916299999995,-77.4379257,Cafe Rustika,37.54074,-77.44015,German Restaurant
City Center,Richmond,VA,37.542916299999995,-77.4379257,Jkogi,37.54532134001139,-77.43934119653908,Korean Restaurant
City Center,Richmond,VA,37.542916299999995,-77.4379257,Hilton,37.5423849,-77.4378458,Hotel
City Center,Richmond,VA,37.542916299999995,-77.4379257,Richmond Marriott,37.5431723593463,-77.43663556873798,Hotel
City Center,Richmond,VA,37.542916299999995,-77.4379257,Lucy's,37.54574619938642,-77.43905013464105,Café
City Center,Richmond,VA,37.542916299999995,-77.4379257,Sefton Coffee Company,37.539498175239615,-77.43668523218093,Coffee Shop
City Center,Richmond,VA,37.542916299999995,-77.4379257,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
Court End,Richmond,VA,37.5441544,-77.43209569999998,The National,37.54189345405843,-77.43533156308092,Music Venue
Court End,Richmond,VA,37.5441544,-77.43209569999998,The Valentine,37.54154166414663,-77.43103242327882,Museum
Court End,Richmond,VA,37.5441544,-77.43209569999998,Barnes & Noble,37.543330966368025,-77.42902980118572,Bookstore
Court End,Richmond,VA,37.5441544,-77.43209569999998,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
Court End,Richmond,VA,37.5441544,-77.43209569999998,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
Court End,Richmond,VA,37.5441544,-77.43209569999998,Starbucks,37.5447216,-77.4296058,Coffee Shop
Court End,Richmond,VA,37.5441544,-77.43209569999998,MCV Campus Recreation & Aquatic Center,37.54483083494511,-77.4296523035288,College Gym
Court End,Richmond,VA,37.5441544,-77.43209569999998,John Marshall House,37.541946,-77.43305500000001,History Museum
Court End,Richmond,VA,37.5441544,-77.43209569999998,Richmond City Hall Observation Deck,37.54118649234692,-77.433070151048,Scenic Lookout
Court End,Richmond,VA,37.5441544,-77.43209569999998,Richmond Marriott Hotel Concierge Lounge,37.5431780787125,-77.43643844423681,Hotel
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Virginia War Memorial,37.536980890009396,-77.44831685099355,Monument / Landmark
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Tredegar Iron Works,37.5351588907056,-77.44562739255825,Historic Site
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,The American Civil War Center At Historic Tredegar,37.53514322482142,-77.44552653664267,History Museum
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Richmond Ballet,37.53865851255742,-77.44172683000035,Dance Studio
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Gamble's Hill Park,37.537561017366386,-77.44672652949278,Park
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Fireworks On The James,37.53582702570146,-77.4478237883254,Scenic Lookout
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,National Park Service Visitors Center,37.53516005981863,-77.44586330630948,Tourist Information Center
Gambles Hill,Richmond,VA,37.537863,-77.44581509999998,Holiday Inn Express Richmond - Downtown,37.5407675,-77.4434733,Hotel
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Mama Js,37.54646916644014,-77.43969620490937,Southern / Soul Food Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Saison,37.54694753906145,-77.44205598639057,Cocktail Bar
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Saison Market,37.54684405613228,-77.4422189062302,Food & Drink Shop
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Gallery 5,37.54755322340729,-77.44281483461361,Art Gallery
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Max's on Broad,37.54635273903762,-77.44248361261603,French Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Salt & Forge,37.545206,-77.44018299999999,Sandwich Place
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Lucy's,37.54574619938642,-77.43905013464105,Café
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Stoplight Gelato Cafe,37.547618,-77.442327,Café
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,YMCA,37.549067959418274,-77.43893536059726,Gym
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Tarrant's Cafe,37.5455129909066,-77.4420846885243,New American Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Jkogi,37.54532134001139,-77.43934119653908,Korean Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Virginia Repertory Theatre,37.546514125625585,-77.44334987026785,Performing Arts Venue
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Quirk Hotel,37.5465,-77.444085,Hotel
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,GWARbar,37.548828293606164,-77.4429964274168,Bar
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Comfort,37.54682178060564,-77.44364314661638,Southern / Soul Food Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,First Fridays Art Walk,37.547044655647056,-77.44384559168917,Art Gallery
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Soul Taco,37.544576,-77.43943399999999,Taco Place
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Bar Solita,37.546172999999996,-77.443547,Mediterranean Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Ledbury,37.54681454251017,-77.44431138038635,Men's Store
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Lift Coffee Shop & Café,37.547101402129336,-77.4442346260153,Coffee Shop
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Round Two,37.54633396663224,-77.44300326470415,Men's Store
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Quirk Hotel Rooftop,37.54645959797033,-77.44410636599878,Hotel Bar
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,The Coalition Theater,37.54591788025318,-77.44217603445006,Comedy Club
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Hippodrome Theater,37.54724596115778,-77.43810516618335,Music Venue
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Barcode,37.54481861571483,-77.44248612795207,Gay Bar
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Maggie L Walker National Historic Site,37.547709999999995,-77.437478,History Museum
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Maple & Pine,37.54651746959265,-77.44393029401641,American Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Thai Corner,37.545306096890904,-77.43929549925566,Thai Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Bistro 27,37.54612553221586,-77.44295271050176,Italian Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,The Speakeasy Grill,37.54721451981759,-77.43825391954442,Southern / Soul Food Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Black History Museum and Cultural Center of Virginia,37.547265,-77.440668,History Museum
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,The Space Station,37.54971060508758,-77.44060129844331,Smoke Shop
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Southern Kitchen,37.546407,-77.43803100000001,Southern / Soul Food Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Black History Museum and Cultural Center of Virginia,37.550058,-77.441363,History Museum
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,The Someday Shop,37.5453,-77.441137,Furniture / Home Store
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Aloha Cafe,37.5457399931948,-77.437934073448,Hawaiian Restaurant
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Abner Clay Park,37.54952639336526,-77.44255124732696,Park
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Old Dominion Club,37.54527149070633,-77.4419925214637,Speakeasy
Jackson Ward,Richmond,VA,37.54773839999999,-77.44007739999998,Ándale Taco Chop Shop,37.544576,-77.43943399999999,Taco Place
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Triple Crossing Beer,37.541583,-77.445468,Brewery
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,The Jefferson Hotel,37.54422542138484,-77.44569685078602,Hotel
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Madison+Main,37.54154379234975,-77.44431565840011,Advertising Agency
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,TJ's,37.5441116321625,-77.44604285030887,New American Restaurant
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Lemaire,37.5446620702017,-77.44503580223473,New American Restaurant
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Graduate Richmond,37.5454682,-77.4465266,Hotel
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Perly's,37.54384800818421,-77.44143577650136,Deli / Bodega
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Bar Solita,37.546172999999996,-77.443547,Mediterranean Restaurant
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,The Commonwealth Club,37.54570655061937,-77.44763760854697,Lounge
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Chili's Grill & Bar,37.54373744,-77.44828263,Tex-Mex Restaurant
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999998,Starbucks,37.54388744489345,-77.44855257388645,Coffee Shop
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Grace Noodle,37.53246049960262,-77.42694629222524,Noodle House
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Rosie Connolly's,37.53393704735952,-77.42845655890663,Pub
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Julep's New Southern Cuisine,37.53375037049065,-77.42683373631408,Southern / Soul Food Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Ironclad Coffee,37.53432466394541,-77.42574499019021,Coffee Shop
