Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Capitol District,35.7803584,-78.63912909999998,Carroll's Kitchen,35.777101,-78.638749,American Restaurant
Capitol District,35.7803584,-78.63912909999998,Neptunes Parlour,35.77693377515693,-78.63983610183021,Bar
Capitol Heights,35.7803584,-78.63912909999998,North Carolina Museum of History,35.78151639441983,-78.63874714932197,History Museum
Capitol Heights,35.7803584,-78.63912909999998,Gallo Pelón,35.77931957146792,-78.63851692796818,Cocktail Bar
Capitol Heights,35.7803584,-78.63912909999998,North Carolina Museum of Natural Sciences,35.782216952143855,-78.63937474693553,Science Museum
Capitol Heights,35.7803584,-78.63912909999998,City Club Raleigh,35.778660849380216,-78.63969415426254,Event Space
Capitol Heights,35.7803584,-78.63912909999998,Centro,35.77923559426749,-78.63826359808532,Mexican Restaurant
Capitol Heights,35.7803584,-78.63912909999998,Raleigh Raw,35.77830785990888,-78.63960986451752,Juice Bar
Capitol Heights,35.7803584,-78.63912909999998,Sitti,35.77823720800241,-78.63826636528833,Mediterranean Restaurant
Capitol Heights,35.7803584,-78.63912909999998,Gravy,35.778481842755454,-78.63814279051725,Italian Restaurant
Capitol Heights,35.7803584,-78.63912909999998,The Morning Times,35.778224008718496,-78.63884391374424,Coffee Shop
Capitol Heights,35.7803584,-78.63912909999998,Nature Research Center,35.78248616431799,-78.64074514933678,Science Museum
Capitol Heights,35.7803584,-78.63912909999998,Death & Taxes,35.77824489697241,-78.64037505900414,American Restaurant
Capitol Heights,35.7803584,-78.63912909999998,The Raleigh Times Bar,35.77819525450138,-78.63842198656201,Gastropub
Capitol Heights,35.7803584,-78.63912909999998,Deco,35.77827057414117,-78.64013088640586,Gift Shop
Capitol Heights,35.7803584,-78.63912909999998,Foundation,35.777751232806416,-78.63916995885789,Cocktail Bar
Capitol Heights,35.7803584,-78.63912909999998,Paddy O'Beers,35.779169066802396,-78.63919264660531,Beer Garden
Capitol Heights,35.7803584,-78.63912909999998,Father & Son Antiques,35.77827619344786,-78.64073866606371,Antique Shop
