Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude
Thoroughgood,Virginia Beach,VA,36.8918143,-76.12910169999998
Adams Morgan,Washington,DC,38.9212418,-77.0434934
Columbia Heights,Washington,DC,38.9276414,-77.0297181
Howard University,Washington,DC,38.9226843,-77.0194377
Kalorama,Washington,DC,38.91450070000001,-77.046174
LeDroit Park,Washington,DC,38.917764299999995,-77.018303
Lanier Heights,Washington,DC,38.9256541,-77.04277370000001
Mount Pleasant,Washington,DC,38.9311878,-77.04061469999998
Park View,Washington,DC,38.93181060000001,-77.0233415
Pleasant Plains,Washington,DC,38.92121710000001,-77.02046240000001
Shaw,Washington,DC,38.9126289,-77.02294619999998
U Street Corridor,Washington,DC,38.9170008,-77.0252725
Burleith,Washington,DC,38.9145261,-77.0751538
Chinatown,Washington,DC,38.90036920000001,-77.0209563
Downtown,Washington,DC,38.9037406,-77.03629670000002
Dupont Circle,Washington,DC,38.9096936,-77.043339
Federal Triangle,Washington,DC,38.893794,-77.02811070000001
Foggy Bottom,Washington,DC,38.9006918,-77.05182540000001
Georgetown,Washington,DC,38.9097057,-77.06535650000002
Logan Circle,Washington,DC,38.909641,-77.0296369
Mount Vernon Square,Washington,DC,38.9042772,-77.0234435
Penn Quarter,Washington,DC,38.8973308,-77.02194250000002
Sheridan Kalorama,Washington,DC,38.91450070000001,-77.046174
Southwest Federal Center,Washington,DC,38.88561929999999,-77.02191239999998
West End,Washington,DC,38.906804799999996,-77.05212890000001
American University Park,Washington,DC,38.9455047,-77.08810340000002
Berkley,Washington,DC,38.9215975,-77.0924196
Cathedral Heights,Washington,DC,38.9334728,-77.07983519999998
Chevy Chase,Washington,DC,38.961015100000004,-77.06620889999998
Cleveland Park,Washington,DC,38.9346348,-77.0663921
Colony Hill,Washington,DC,38.913167,-77.08720029999998
Forest Hills,Washington,DC,38.9474093,-77.0593246
Foxhall,Washington,DC,38.9223334,-77.0941448
Friendship Heights,Washington,DC,38.956571200000006,-77.083787
Glover Park,Washington,DC,38.9209446,-77.07719999999998
Kent,Washington,DC,38.933722100000004,-77.1035895
Massachusetts Heights,Washington,DC,38.9190471,-77.06007679999998
McLean Gardens,Washington,DC,38.93707390000001,-77.0758733
North Cleveland Park,Washington,DC,38.9439719,-77.0724122
Observatory Circle,Washington,DC,38.9201358,-77.07143509999999
The Palisades,Washington,DC,38.9320344,-77.1053673
Potomac Heights,Washington,DC,38.9276111,-77.10775629999998
Spring Valley,Washington,DC,38.9416599,-77.09961299999998
Tenleytown,Washington,DC,38.945981700000004,-77.0809093
Wakefield,Washington,DC,38.9507566,-77.07166339999998
Wesley Heights,Washington,DC,38.9289785,-77.0895421
Woodland Normanstone,Washington,DC,38.9206149,-77.0607637
Woodley Park,Washington,DC,38.927994500000004,-77.0578855
"Woodmont, Washington, D.C.",Washington,DC,38.8616027,-76.97303000000002
Barnaby Woods,Washington,DC,38.9745158,-77.0607637
Brightwood,Washington,DC,38.9649218,-77.0276835
Brightwood Park,Washington,DC,38.9543155,-77.019762
Colonial Village,Washington,DC,38.9850771,-77.04061469999998
Crestwood,Washington,DC,38.9403344,-77.0420541
Fort Totten,Washington,DC,38.9505016,-77.00888909999998
Hawthorne,Washington,DC,38.9815654,-77.05500719999998
Manor Park,Washington,DC,38.962378799999996,-77.0106965
Petworth,Washington,DC,38.942405900000004,-77.02557999999998
Riggs Park,Washington,DC,38.9542775,-76.99414260000002
Shepherd Park,Washington,DC,38.9827023,-77.0316156
Sixteenth Street Heights,Washington,DC,38.954078100000004,-77.03343840000002
Takoma,Washington,DC,38.973611299999995,-77.0227898
Arboretum,Washington,DC,38.9162514,-76.97078690000002
Bloomingdale,Washington,DC,38.9176761,-77.01182460000003
Brentwood,Washington,DC,38.9194596,-76.99123689999998
Brookland,Washington,DC,38.9328037,-76.9863578
Carver Langston,Washington,DC,38.900936200000004,-76.97726750000002
Eckington,Washington,DC,38.9141343,-77.0031863
Edgewood,Washington,DC,38.9256162,-77.0005917
Fort Lincoln,Washington,DC,38.92141779999999,-76.9555116
Gateway,Washington,DC,38.9198479,-76.96286580000002
Ivy City,Washington,DC,38.9147513,-76.9859077
Langdon,Washington,DC,38.9245066,-76.9761563
Michigan Park,Washington,DC,38.9452287,-76.9830277
North Michigan Park,Washington,DC,38.9462889,-76.9949575
Pleasant Hill,Washington,DC,38.944336,-77.003937
Queens Chapel,Washington,DC,38.9545537,-76.997427
Stronghold,Washington,DC,38.9256143,-77.0082254
Trinidad,Washington,DC,38.9089568,-76.9822523
Truxton Circle,Washington,DC,38.9099729,-77.01182460000003
Woodridge,Washington,DC,38.9330005,-76.9680338
Barney Circle,Washington,DC,38.8858518,-76.9801476
Capitol Hill,Washington,DC,38.8860434,-76.999525
Judiciary Square,Washington,DC,38.8987163,-77.0163184
Kingman Park,Washington,DC,38.8958,-76.97726750000002
Mount Vernon Triangle,Washington,DC,38.90249489999999,-77.01896049999998
Navy Yard,Washington,DC,38.8764653,-77.0005547
Near Northeast,Washington,DC,38.9025149,-76.99847609999998
NoMa,Washington,DC,38.90375510000001,-77.00590940000002
Southwest Waterfront,Washington,DC,38.8764794,-77.01757889999998
Sursum Corda,Washington,DC,38.904663299999996,-77.01216939999998
Swampoodle,Washington,DC,38.9035189,-77.0022905
Benning Heights,Washington,DC,38.8817789,-76.93608509999999
Benning Ridge,Washington,DC,38.882408700000006,-76.938379
Benning,Washington,DC,38.8925405,-76.94846240000003
Burrville,Washington,DC,38.899871600000004,-76.92253199999998
