Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hampden,39.33337059999999,-76.632607,Hampden Junque,39.33120208215479,-76.63303971290588,Thrift / Vintage Store
Hampden,39.33337059999999,-76.632607,Massage Envy - Rotunda,39.33487863136247,-76.63056991667173,Spa
Harwood,39.3200976,-76.6116662,BrickHaus,39.320369,-76.609762,Art Gallery
Harwood,39.3200976,-76.6116662,Vasachy's Sports Bar & Grill,39.318415,-76.610196,Sports Bar
Harwood,39.3200976,-76.6116662,Eddie's liquors,39.32133175631578,-76.60951947583527,Liquor Store
Hoes Heights,39.3402458,-76.63693920000001,Giant Food,39.3387391,-76.6353392,Grocery Store
Kenilworth Park,39.3542735,-76.59802289999998,Chinquapin Run Park,39.35487427283022,-76.59526348114014,Park
Kenilworth Park,39.3542735,-76.59802289999998,MTA-36 Bus Stop,39.35434163775711,-76.59817301965211,Bus Stop
Kenilworth Park,39.3542735,-76.59802289999998,Alameda Matketplace,39.35592765208263,-76.59688653541556,Shopping Mall
Kernewood,39.3459173,-76.6145548,Guilford Resevoir,39.345272100695794,-76.61336653281614,Lake
Keswick,39.342121,-76.631163,Miss Shirley's Cafe,39.3443547,-76.63144129999999,Breakfast Spot
Lake Evesham,39.3662961,-76.6145548,Beginning Ballroom - Real Dancing for Real People,39.365608,-76.612637,Dance Studio
Levindale,39.3537973,-76.66581649999998,Belvedere & Lanier,39.35330296123451,-76.6650116443634,Intersection
Levindale,39.3537973,-76.66581649999998,Cafe Shalom @ Sinai,39.35263697493472,-76.66380478713073,Café
Levindale,39.3537973,-76.66581649999998,Cafeteria,39.35253062671084,-76.66383762213304,Cafeteria
Mid-Charles,39.34875460000001,-76.62249809999999,Evergreen House,39.34878510392136,-76.62017102475541,Museum
Mid-Charles,39.34875460000001,-76.62249809999999,Shakespeare In The Meadow,39.34819412231445,-76.62004089355469,Theater
Mid-Govans,39.3598066,-76.6080554,Nailah's Kitchen,39.36039140574925,-76.61004653856517,African Restaurant
Mid-Govans,39.3598066,-76.6080554,Toss (A Gourmet Pizzeria),39.360034710541846,-76.60998645149989,Pizza Place
Mid-Govans,39.3598066,-76.6080554,Bosphorus,39.35980825977939,-76.60997647260848,Mediterranean Restaurant
Mid-Govans,39.3598066,-76.6080554,Flight American Fusion,39.36029855378404,-76.60980110095302,American Restaurant
