Neighborhood,City,State,Latitude,Longitude
Mill Hill,Baltimore,MD,39.2788618,-76.65715399999999
Monastery Gardens,Baltimore,MD,39.2846245,-76.681462
Morrell Park,Baltimore,MD,39.2646339,-76.6547794
Mount Holly,Baltimore,MD,39.31253239999999,-76.6780873
Oaklee,Baltimore,MD,39.2683763,-76.684944
Pigtown,Baltimore,MD,39.2812753,-76.6340511
Pratt Monroe,Baltimore,MD,39.2826198,-76.6456031
Primrose Place,Baltimore,MD,39.2744267,-76.6720342
Rognel Heights,Baltimore,MD,39.2953015,-76.68891359999999
Saint Agnes,Baltimore,MD,39.2750508,-76.67375659999999
Saint Joseph's,Baltimore,MD,39.2859754,-76.6744784
Shipley Hill,Baltimore,MD,39.2865135,-76.65715399999999
Sowebo,Baltimore,MD,39.288578,-76.63812759999999
Ten Hills,Baltimore,MD,39.2842733,-76.7010817
Tremont,Baltimore,MD,39.2834951,-76.6943263
Uplands,Baltimore,MD,39.2875405,-76.6907178
Violetville,Baltimore,MD,39.2654186,-76.67381060000001
Wakefield,Baltimore,MD,39.31260650000001,-76.6980264
Wallbrook,Baltimore,MD,39.3108055,-76.6687038
Westgate,Baltimore,MD,39.2842214,-76.7033471
West Hills,Baltimore,MD,39.2950925,-76.70912
West Mullberry,Baltimore,MD,39.2933542,-76.63402219999999
Western,Baltimore,MD,39.2922854,-76.66292899999999
West Pratt,Baltimore,MD,39.2856532,-76.636544
Winchester,Baltimore,MD,39.3041275,-76.6441591
Yale Heights,Baltimore,MD,39.2752305,-76.69180039999999
Arundel Cove,Baltimore,MD,39.2030346,-76.5670833
Brooklyn,Baltimore,MD,39.2381955,-76.60372219999999
Brooklyn Homes,Baltimore,MD,39.2292743,-76.60024380000002
Cherry Hill,Baltimore,MD,39.2490357,-76.6251606
Curtis Bay,Baltimore,MD,39.2208578,-76.5863882
Fairfield,Baltimore,MD,39.2378854,-76.5791318
Federal Hill,Baltimore,MD,39.279304,-76.6116662
Harborview,Baltimore,MD,39.2775288,-76.60431559999999
Lakeland,Baltimore,MD,39.2530783,-76.64659019999999
Locust Point,Baltimore,MD,39.2680512,-76.59105919999999
Masonville,Baltimore,MD,39.243163,-76.5905212
Mount Winans,Baltimore,MD,39.2614905,-76.64488109999999
Port Covington,Baltimore,MD,39.2613248,-76.6089449
Riverside,Baltimore,MD,39.2729056,-76.6083646
South Balto.Imp.Comm./West Federal Hill,Baltimore,MD,39.2763123,-76.6114039
Sharp-Leadenhall,Baltimore,MD,39.2787025,-76.61744329999999
Shoreline,Baltimore,MD,39.2449717,-76.5867317
South Baltimore,Baltimore,MD,39.2704952,-76.61512379999999
Wagner's Point,Baltimore,MD,39.2341447,-76.56905189999999
Westport,Baltimore,MD,39.2631197,-76.6339404
Baltimore Highlands,Baltimore,MD,39.2935798,-76.56471739999999
Bayview or Hopkins Bayview,Baltimore,MD,39.2915618,-76.5458818
Brewer's Hill,Baltimore,MD,39.2802377,-76.5662741
Butchers Hill,Baltimore,MD,39.2930123,-76.5871105
Canton,Baltimore,MD,39.2821834,-76.5762756
Dunbar,Baltimore,MD,39.2922439,-76.5914442
Eastwood,Baltimore,MD,39.2857707,-76.5408001
Fells Point,Baltimore,MD,39.2842097,-76.593611
West Federal Hill,Baltimore,MD,39.2704952,-76.61512379999999
Fifteenth Street,Baltimore,MD,39.2874652,-76.5560481
Graceland Park,Baltimore,MD,39.2822044,-76.53292689999999
Greektown,Baltimore,MD,39.2851297,-76.55243569999999
Harbor East,Baltimore,MD,39.2832248,-76.6015556
Harbor Point,Baltimore,MD,39.2806216,-76.5984511
Highlandtown,Baltimore,MD,39.2887746,-76.56674919999999
Jonestown,Baltimore,MD,39.2903218,-76.6022778
Joseph Lee,Baltimore,MD,39.28904319999999,-76.5423204
Kresson,Baltimore,MD,39.2960052,-76.5582154
Little Italy,Baltimore,MD,39.2844999,-76.6015556
Medford-Broening Highway,Baltimore,MD,39.2769852,-76.5436646
O'Donnell Heights,Baltimore,MD,39.2781219,-76.54159779999999
Patterson Park,Baltimore,MD,39.2898331,-76.5762756
Patterson Place,Baltimore,MD,39.2935885,-76.58386019999999
Perkins Homes,Baltimore,MD,39.2876504,-76.5957778
St Helena,Baltimore,MD,39.2623558,-76.5322043
Upper Fells Point,Baltimore,MD,39.2886346,-76.5878328
Washington Hill,Baltimore,MD,39.2902003,-76.5957778
